"Name","API Name","Memory","Compute Units (ECU)","vCPUs","GPUs","FPGAs","ECU per vCPU","Physical Processor","Clock Speed(GHz)","Intel AVX","Intel AVX2","Intel Turbo","Instance Storage","Instance Storage: already warmed-up","Instance Storage: SSD TRIM Support","Arch","Network Performance","EBS Optimized: Max Bandwidth","EBS Optimized: Throughput","EBS Optimized: Max 16K IOPS","Max IPs","Enhanced Networking","VPC Only","IPv6 Support","Placement Group Support","Linux Virtualization","Linux On Demand cost","Linux Reserved cost","RHEL On Demand cost","RHEL Reserved cost","SLES On Demand cost","SLES Reserved cost","Windows On Demand cost","Windows Reserved cost","Windows SQL Web On Demand cost","Windows SQL Web Reserved cost","Windows SQL Std On Demand cost","Windows SQL Std Reserved cost","Windows SQL Ent On Demand cost","Windows SQL Ent Reserved cost","EBS Optimized surcharge"
"M1 General Purpose Small","m1.small","1.7 GiB","1 units","1 vCPUs","0","0","1 units","","","","","","160 GiB               HDD               + 900MB swap","No","N/A","32/64-bit","Low","N/A","0 MB/s","0 IOPS","8","No","No","No","No","PV","unavailable","unavailable","$0.104 hourly","$0.088 hourly","$0.074 hourly","$0.052 hourly","unavailable","unavailable","$0.139 hourly","$0.094 hourly","$0.629 hourly","$0.473 hourly","unavailable","unavailable","unavailable"
"M1 General Purpose Medium","m1.medium","3.75 GiB","2 units","1 vCPUs","0","0","2 units","","","","","","410 GiB               HDD","No","N/A","32/64-bit","Moderate","N/A","0 MB/s","0 IOPS","12","No","No","No","No","PV","unavailable","unavailable","$0.147 hourly","$0.116 hourly","$0.187 hourly","$0.092 hourly","unavailable","unavailable","$0.237 hourly","$0.155 hourly","$0.744 hourly","$0.543 hourly","unavailable","unavailable","unavailable"
"M1 General Purpose Large","m1.large","7.5 GiB","4 units","2 vCPUs","0","0","2 units","","","","","","840 GiB               (2 * 420 GiB HDD)","No","N/A","64-bit","Moderate","500.0 Mbps","62.5 MB/s","4000.0 IOPS","30","No","No","No","No","PV","unavailable","unavailable","$0.235 hourly","$0.172 hourly","$0.275 hourly","$0.148 hourly","unavailable","unavailable","$0.435 hourly","$0.284 hourly","$0.955 hourly","$0.665 hourly","unavailable","unavailable","$0.025 hourly"
"M1 General Purpose Extra Large","m1.xlarge","15.0 GiB","8 units","4 vCPUs","0","0","2 units","","","","","","1680 GiB               (4 * 420 GiB HDD)","No","N/A","64-bit","High","1000.0 Mbps","125.0 MB/s","8000.0 IOPS","60","No","No","No","No","PV","unavailable","unavailable","$0.41 hourly","$0.284 hourly","$0.45 hourly","$0.260 hourly","unavailable","unavailable","$0.83 hourly","$0.543 hourly","$1.362 hourly","$0.906 hourly","unavailable","unavailable","$0.05 hourly"
"C1 High-CPU Medium","c1.medium","1.7 GiB","5 units","2 vCPUs","0","0","2.5 units","","","","","","350 GiB               HDD               + 900MB swap","No","N/A","32/64-bit","Moderate","N/A","0 MB/s","0 IOPS","12","No","No","No","No","PV","unavailable","unavailable","$0.19 hourly","$0.151 hourly","$0.23 hourly","$0.127 hourly","unavailable","unavailable","$0.31 hourly","$0.215 hourly","unavailable","unavailable","unavailable","unavailable","unavailable"
"C1 High-CPU Extra Large","c1.xlarge","7.0 GiB","20 units","8 vCPUs","0","0","2.5 units","","","","","","1680 GiB               (4 * 420 GiB HDD)","No","N/A","64-bit","High","1000.0 Mbps","125.0 MB/s","8000.0 IOPS","60","No","No","No","No","PV","unavailable","unavailable","$0.65 hourly","$0.494 hourly","$0.62 hourly","$0.400 hourly","unavailable","unavailable","$1.16 hourly","$0.793 hourly","$2.124 hourly","$1.537 hourly","unavailable","unavailable","$0.05 hourly"
"Cluster Compute Eight Extra Large","cc2.8xlarge","60.5 GiB","88 units","32 vCPUs","0","0","2.75 units","","","","","","3360 GiB               (4 * 840 GiB HDD)","No","N/A","64-bit","10 Gigabit","N/A","0 MB/s","0 IOPS","240","No","No","No","No","HVM","unavailable","unavailable","$2.13 hourly","$1.220 hourly","$2.1 hourly","$1.126 hourly","unavailable","unavailable","$2.775 hourly","$1.437 hourly","$4.41 hourly","$2.956 hourly","unavailable","unavailable","unavailable"
"Cluster GPU Quadruple Extra Large","cg1.4xlarge","22.5 GiB","33.5 units","16 vCPUs","0","0","2.094 units","","","","","","EBS only","N/A","N/A","64-bit","10 Gigabit","N/A","0 MB/s","0 IOPS","N/A","No","No","No","No","HVM","unavailable","unavailable","$2.23 hourly","unavailable","$2.2 hourly","unavailable","unavailable","unavailable","$2.703 hourly","unavailable","$3.85 hourly","unavailable","unavailable","unavailable","unavailable"
"M2 High Memory Extra Large","m2.xlarge","17.1 GiB","6.5 units","2 vCPUs","0","0","3.25 units","","","","","","420 GiB               HDD","No","N/A","64-bit","Moderate","N/A","0 MB/s","0 IOPS","60","No","No","No","No","PV","unavailable","unavailable","$0.305 hourly","$0.171 hourly","$0.345 hourly","$0.147 hourly","unavailable","unavailable","$0.445 hourly","$0.323 hourly","$1.084 hourly","$0.728 hourly","unavailable","unavailable","unavailable"
"M2 High Memory Double Extra Large","m2.2xlarge","34.2 GiB","13 units","4 vCPUs","0","0","3.25 units","","","","","","850 GiB               HDD","No","N/A","64-bit","Moderate","500.0 Mbps","62.5 MB/s","4000.0 IOPS","120","No","No","No","No","PV","unavailable","unavailable","$0.55 hourly","$0.282 hourly","$0.59 hourly","$0.258 hourly","unavailable","unavailable","$0.85 hourly","$0.622 hourly","$1.489 hourly","$0.944 hourly","unavailable","unavailable","$0.025 hourly"
"M2 High Memory Quadruple Extra Large","m2.4xlarge","68.4 GiB","26 units","8 vCPUs","0","0","3.25 units","","","","","","1680 GiB               (2 * 840 GiB HDD)","No","N/A","64-bit","High","1000.0 Mbps","125.0 MB/s","8000.0 IOPS","240","No","No","No","No","PV","unavailable","unavailable","$1.11 hourly","$0.574 hourly","$1.08 hourly","$0.480 hourly","unavailable","unavailable","$1.7 hourly","$1.245 hourly","$2.976 hourly","$1.887 hourly","unavailable","unavailable","$0.05 hourly"
"High Storage Eight Extra Large","hs1.8xlarge","117.0 GiB","35 units","16 vCPUs","0","0","2.188 units","","","","","","48000 GiB               (24 * 2000 GiB HDD)","No","N/A","64-bit","10 Gigabit","N/A","0 MB/s","0 IOPS","240","No","No","No","No","HVM, PV","unavailable","unavailable","$4.73 hourly","$2.704 hourly","$4.7 hourly","$2.610 hourly","unavailable","unavailable","$5.144 hourly","$3.211 hourly","$8.35 hourly","$6.961 hourly","unavailable","unavailable","unavailable"
"T1 Micro","t1.micro","0.613 GiB","Burstable","1 vCPUs","0","0","Burstable","","","","","","EBS only","N/A","N/A","32/64-bit","Very Low","N/A","0 MB/s","0 IOPS","4","No","No","No","No","PV","unavailable","unavailable","$0.08 hourly","$0.074 hourly","$0.03 hourly","$0.022 hourly","unavailable","unavailable","$0.07 hourly","$0.047 hourly","unavailable","unavailable","unavailable","unavailable","unavailable"
"T2 Nano","t2.nano","0.5 GiB","Base performance:                 5%","1 vCPUs                                                   for a                 1h 12m                 burst","0","0","Burstable","Intel Xeon family","up to 3.3","Yes","","Yes","EBS only","N/A","N/A","32/64-bit","Low","N/A","0 MB/s","0 IOPS","4","No","Yes","Yes","No","HVM","$0.006700 hourly","$0.004000 hourly","unavailable","unavailable","$0.0158 hourly","$0.013 hourly","$0.009000 hourly","$0.007000 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable"
"T2 Micro","t2.micro","1.0 GiB","Base performance:                 10%","1 vCPUs                                                   for a                 2h 24m                 burst","0","0","Burstable","Intel Xeon family","Up to 3.3","Yes","","Yes","EBS only","N/A","N/A","32/64-bit","Low to Moderate","N/A","0 MB/s","0 IOPS","4","No","Yes","Yes","No","HVM","$0.013400 hourly","$0.009000 hourly","$0.0716 hourly","$0.067 hourly","$0.0216 hourly","$0.016 hourly","$0.018000 hourly","$0.014000 hourly","$0.068 hourly","$0.047 hourly","unavailable","unavailable","unavailable","unavailable","unavailable"
"T2 Small","t2.small","2.0 GiB","Base performance:                 20%","1 vCPUs                                                   for a                 4h 48m                 burst","0","0","Burstable","Intel Xeon family","Up to 3.3","Yes","","Yes","EBS only","N/A","N/A","32/64-bit","Low to Moderate","N/A","0 MB/s","0 IOPS","8","No","Yes","Yes","No","HVM","$0.026800 hourly","$0.018000 hourly","$0.083 hourly","$0.074 hourly","$0.053 hourly","$0.028 hourly","$0.036000 hourly","$0.027000 hourly","$0.1034 hourly","$0.093 hourly","unavailable","unavailable","unavailable","unavailable","unavailable"
